,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:25,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cuellarrhics,708,TRUE,FALSE,NA,NA
2,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:25,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",OregonOHPoilec,708,TRUE,FALSE,NA,NA
3,RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottv‚Ä¶,FALSE,0,NA,8/2/2017 14:25,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",SmallCpAnalyst,2,TRUE,FALSE,NA,NA
4,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:25,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",WidditmSaa,708,TRUE,FALSE,NA,NA
5,"RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule. https://t.co/‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",willyvero,2,TRUE,FALSE,NA,NA
6,$AAPL Im still waiting.,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TraderMichigan,0,FALSE,FALSE,NA,NA
7,"WE're IN $AAPL puts this am
I like the after earnings play.. https://t.co/yP6E6mvesN",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",PipsToDollars,0,FALSE,FALSE,NA,NA
8,$AAPL Holding $156.68 targets $168.53. Otherwise my annual pivot of $151.69 remains magnet. https://t.co/hEp3jActtC https://t.co/0H719ITYsf,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Suttmeier,0,FALSE,FALSE,NA,NA
9,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",XT_kUINN,703,TRUE,FALSE,NA,NA
10,RT @stockpicklist: $NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi $ottv‚Ä¶,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Wallstreetnsidr,1,TRUE,FALSE,NA,NA
11,Imagine if $AAPL threw its weight behind blockchain Ì†æÌ¥ì,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",wboscoho,0,FALSE,FALSE,NA,NA
12,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GANDJMDAEI,703,TRUE,FALSE,NA,NA
13,$SPY $DIA $QQQ $VIX $VXX $UVXY TRUMP-CRAPPLE TOP $AAPL  https://t.co/jqByIFKURs,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",nobullshytrader,0,FALSE,FALSE,NA,NA
14,$NBDR is making moves toward #triple #digit #gains Make your move #today #StockMarket #paid $psid $aapl $fb $aghi‚Ä¶ https://t.co/wNq2ygKsBf,FALSE,2,NA,8/2/2017 14:24,TRUE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stockpicklist,2,FALSE,FALSE,NA,NA
15,"Comment: Apple's guidance suggests iPhone 8 will go on sale in September, with constrained supply‚Ä¶ https://t.co/MM5xe3PLOO",FALSE,0,NA,8/2/2017 14:24,TRUE,NA,8.92753E+17,NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",MacHashNews,0,FALSE,FALSE,NA,NA
16,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BethanyGarladn,703,TRUE,FALSE,NA,NA
17,"RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",InfinitusCap,24,TRUE,FALSE,NA,NA
18,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",aMdcapTheatre,703,TRUE,FALSE,NA,NA
19,$AAPL so far opened on highs fading into the gap. Profit taking. Pre-earnings run started at $142 https://t.co/DkYayfKhqK,FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",TraderMichigan,0,FALSE,FALSE,NA,NA
20,Are you Bullish or Bearish on #Apple? Start #Trading $AAPL with #BitcoinÌ†ΩÌ∏ç $QQQ #Stocks #Blockchain  #Cryptocurrency‚Ä¶ https://t.co/wiMWKdks4l,FALSE,0,NA,8/2/2017 14:24,TRUE,NA,8.92753E+17,NA,"<a href=""http://www.crowdfireapp.com"" rel=""nofollow"">Crowdfire - Go Big</a>",ElixiumCrypto,0,FALSE,FALSE,NA,NA
21,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Okt1uspi,703,TRUE,FALSE,NA,NA
22,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",seyitaylor,323,TRUE,FALSE,NA,NA
23,"RT @nanexllc: During the first 15 minutes today, $AAPL was 10% of the total dollar value of all U.S. stocks AND ETFs traded",FALSE,0,NA,8/2/2017 14:24,FALSE,NA,8.92753E+17,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",TradersCom,24,TRUE,FALSE,NA,NA
24,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",DishonouredlofW,703,TRUE,FALSE,NA,NA
25,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",cbgossnile,703,TRUE,FALSE,NA,NA
26,"$AAPL Boom full target hit netted out $2.00 on day trade shorts and $10,50 over night calls. $12.50 in less than ... https://t.co/rGx8bNDQ43",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",StevePTrading,0,FALSE,FALSE,NA,NA
27,$AAPL below previous ATH,FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",IncomeDisparity,0,FALSE,FALSE,NA,NA
28,$AAPL coming into a nice support level at previous all time highs. Watch it https://t.co/Lt3VEWjVHr,FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Trading_Analyst,0,FALSE,FALSE,NA,NA
29,"RT @TDAJJKinahan: With $AAPL behind us, focus turns to TSLA, with hopes of more insight into the company‚Äôs delivery schedule. https://t.co/‚Ä¶",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BVZ_Investools,2,TRUE,FALSE,NA,NA
30,"RT @ValaAfshar: Apple has $261.5 billion in cash. It could buy all:

NFL teams Ì†ºÌøà
NBA teams Ì†ºÌøÄ
MLB teams ‚öæÔ∏è
NHL teams Ì†ºÌøí

and still have $75B‚Ä¶",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ValaAfshar,323,TRUE,FALSE,NA,NA
31,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",MrAndersoANTn,703,TRUE,FALSE,NA,NA
32,$AAPL now below last ATH,FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://stocktwits.com"" rel=""nofollow"">StockTwits Web</a>",Trading4_Living,0,FALSE,FALSE,NA,NA
33,"Its early in the day, but $AAPL is struggling to hold the breakout. $DJI hit 22K but all the gain over past week ha‚Ä¶ https://t.co/gPACpT5dMi",FALSE,0,NA,8/2/2017 14:23,TRUE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",argoexp,0,FALSE,FALSE,NA,NA
34,"RT @philstockworld: Whipsaw Wednesday - The View from Dow 22,000 #Dow22000 $DIA $DXD $AAPL #Oil #Dollar -- https://t.co/e0RxvmkO6D https://‚Ä¶",FALSE,0,NA,8/2/2017 14:23,FALSE,NA,8.92753E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",bentaryc,703,TRUE,FALSE,NA,NA
35,"@awarebiometrics $AWRE  @CapstoneTurbine $CPST LOSER HALL OF FAME co if @cnbc will not do it, WE WILL $AAPL $OCLR‚Ä¶ https://t.co/e582s6t8Zr",FALSE,0,AwareBiometrics,8/2/2017 14:23,TRUE,NA,8.92753E+17,111465555,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",ihuntbiggame1,0,FALSE,FALSE,NA,NA
